Type,Participant I.D.,expName,key_resp_2.corr,key_resp_2.rt,trials.thisIndex,typedWord,typedWord2
TL2,yessir,ColomboPrimingTaskA,1,1.001335,27,,
RLNW,yessir,ColomboPrimingTaskA,1,1.00038,107,,
RLNW,yessir,ColomboPrimingTaskA,0,1.00117,116,,
TLNW,yessir,ColomboPrimingTaskA,0,3.83161,92,,
RLNW,yessir,ColomboPrimingTaskA,1,1.839575,145,,
RL2,yessir,ColomboPrimingTaskA,1,2.6062,75,,
RL1,yessir,ColomboPrimingTaskA,1,0.759585,54,,
TL1,yessir,ColomboPrimingTaskA,1,0.58455,10,,
RLNW,yessir,ColomboPrimingTaskA,0,1.961165,102,,
TL1,yessir,ColomboPrimingTaskA,1,0.57058,3,,
RLNW,yessir,ColomboPrimingTaskA,0,3.08393,108,,
RL1,yessir,ColomboPrimingTaskA,1,1.103945,56,,
RLNW,yessir,ColomboPrimingTaskA,0,1.70741,98,,
TLNW,yessir,ColomboPrimingTaskA,1,0.807165,134,,
RLNW,yessir,ColomboPrimingTaskA,0,1.726065,139,,
TLNW,yessir,ColomboPrimingTaskA,1,2.239745,119,,
RLNW,yessir,ColomboPrimingTaskA,0,2.157285,105,,
TL1,yessir,ColomboPrimingTaskA,1,0.620725,11,,
RLNW,yessir,ColomboPrimingTaskA,1,3.039765,100,,
RL2,yessir,ColomboPrimingTaskA,1,0.647945,77,,
RLNW,yessir,ColomboPrimingTaskA,0,1.09102,106,,
RLNW,yessir,ColomboPrimingTaskA,1,1.404985,111,,
TL2,yessir,ColomboPrimingTaskA,1,0.50717,23,,
TLNW,yessir,ColomboPrimingTaskA,0,1.442135,129,,
TLNW,yessir,ColomboPrimingTaskA,1,1.705385,132,,
TLNW,yessir,ColomboPrimingTaskA,0,3.491635,86,,
TL1,yessir,ColomboPrimingTaskA,1,0.70096,7,,
RLNW,yessir,ColomboPrimingTaskA,1,1.23899,115,,
RLNW,yessir,ColomboPrimingTaskA,1,2.157235,149,,
TL1,yessir,ColomboPrimingTaskA,1,0.710795,12,,
RL2,yessir,ColomboPrimingTaskA,1,0.616615,70,,
TL2,yessir,ColomboPrimingTaskA,1,0.85167,35,,
TLNW,yessir,ColomboPrimingTaskA,0,2.25417,121,,
TL1,yessir,ColomboPrimingTaskA,1,0.50183,14,,
RLNW,yessir,ColomboPrimingTaskA,1,2.796075,146,,
RLNW,yessir,ColomboPrimingTaskA,1,0.86839,109,,
TL1,yessir,ColomboPrimingTaskA,1,0.591875,16,,
TL2,yessir,ColomboPrimingTaskA,1,2.891925,38,,
TL2,yessir,ColomboPrimingTaskA,1,1.051405,19,,
TLNW,yessir,ColomboPrimingTaskA,1,1.6711,87,,
