Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,typedWord,typedWord2
space,1.75344,space,3.51918,m,1,0.348365,0,0,0,0,1,coral,croal,CORAL,WTL,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.333015,0,1,1,10,1,twitter,twitofr,TWITTER,WRL,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,0,0.18562,0,2,2,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.069745,0,3,3,8,1,picture,pimrure,PICTURE,WRL,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.088475,0,4,4,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,0,0.620225,0,5,5,18,1,alacus,afogus,ALACUS,NWRL,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.43228,0,6,6,4,1,laundry,laudnry,LAUNDRY,WTL,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,0,0.621605,0,7,7,14,1,dinital,ditinal,DINITAL,NWTL,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.11733,0,8,8,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.21818,0,9,9,5,1,library,lirbary,LIBRARY,WTL,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,0,0.11084,0,10,10,17,1,flech,felch,FLECH,NWTL,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.132655,0,11,11,7,1,nursery,nuftery,NURSERY,WRL,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,0,0.19954,0,12,12,19,1,bacoon,barkon,BACOON,NWRL,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,0,0.234825,0,13,13,21,1,campet,cantet,CAMPET,NWRL,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,0,0.168875,0,14,14,16,1,clirate,crilate,CLIRATE,NWTL,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.018705,0,15,15,2,1,festival,fetsival,FESTIVAL,WTL,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,0,0.00342,0,16,16,23,1,cnipper,crupper,CNIPPER,NWRL,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,0,0.36617,0,17,17,13,1,cobcert,cocbert,COBCERT,NWTL,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,0,0.72005,0,18,18,15,1,etephant,etpheant,ETEPHANT,NWTL,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,0,0.6204,0,19,19,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.20315,0,20,20,11,1,violin,viprin,VIOLIN,WRL,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,0,0.183,0,21,21,12,1,codfort,cofdort,CODFORT,NWTL,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.02219,0,22,22,3,1,fifty,fitfy,FIFTY,WTL,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.199125,0,23,23,9,1,parcel,pafbel,PARCEL,WRL,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,,,,,,,,,heafs,heils,HEAFS,RLNW,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,space,4.0226,m,0,0.347075,0,0,0,106,1,,
,,,,,,,,,,,,lopely,lopary,LOPELY,RLNW,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,0,0.166765,0,1,1,111,1,,
,,,,,,,,,,,,swallow,swaldaw,SWALLOW,RL2,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.081165,0,2,2,69,1,,
,,,,,,,,,,,,skiffed,skfifed,SKIFFED,TLNW,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,0,0.34978,0,3,3,130,1,,
,,,,,,,,,,,,tronch,taunch,TRONCH,RLNW,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,0,0.25641,0,4,4,150,1,,
,,,,,,,,,,,,stoze,skaze,STOZE,RLNW,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,0,0.08212,0,5,5,141,1,,
,,,,,,,,,,,,gniching,gruching,GNICHING,RLNW,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,0,0.13414,0,6,6,104,1,,
,,,,,,,,,,,,orchestra,orchesrta,ORCHESTRA,TL2,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.192345,0,7,7,38,1,,
,,,,,,,,,,,,winner,winfor,WINNER,RL2,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.20145,0,8,8,76,1,,
,,,,,,,,,,,,woary,wonvy,WOARY,RLNW,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,0,0.354235,0,9,9,153,1,,
,,,,,,,,,,,,callage,callgae,CALLAGE,TLNW,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,0,0.23692,0,10,10,83,1,,
,,,,,,,,,,,,blanket,balnket,BLANKET,TL1,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.065395,0,11,11,8,1,,
,,,,,,,,,,,,floats,folats,FLOATS,TL1,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.21712,0,12,12,17,1,,
,,,,,,,,,,,,smooth,smouch,SMOOTH,RL2,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.169065,0,13,13,59,1,,
,,,,,,,,,,,,senved,serced,SENVED,RLNW,z,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,0,0.1818,0,14,14,101,1,,
,,,,,,,,,,,,wardrobe,wardrile,WARDROBE,RL2,m,999,2020-08-19_13h41.39.553,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.01845,0,15,15,75,1,,
