Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,typedWord,typedWord2
space,1.641,space,12.18,,0,0,0,0,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,,
,,,,z,1,0,1,1,21,1,campet,cantet,CAMPET,NWRL,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,2.346,,,,,,,,,,,,
,,,,m,1,0,2,2,4,1,laundry,laudnry,LAUNDRY,WTL,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.493,,,,,,,,,,,,
,,,,m,1,0,3,3,5,1,library,lirbary,LIBRARY,WTL,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,0.93,,,,,,,,,,,,
,,,,m,1,0,4,4,11,1,violin,viprin,VIOLIN,WRL,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.044,,,,,,,,,,,,
,,,,m,1,0,5,5,7,1,nursery,nuftery,NURSERY,WRL,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.466,,,,,,,,,,,,
,,,,z,1,0,6,6,13,1,cobcert,cocbert,COBCERT,NWTL,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.443,,,,,,,,,,,,
,,,,m,1,0,7,7,2,1,festival,fetsival,FESTIVAL,WTL,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.4,,,,,,,,,,,,
,,,,m,1,0,8,8,9,1,parcel,pafbel,PARCEL,WRL,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.178,,,,,,,,,,,,
,,,,m,1,0,9,9,8,1,picture,pimrure,PICTURE,WRL,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.229,,,,,,,,,,,,
,,,,m,1,0,10,10,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,2.309,,,,,,,,,,,,
,,,,z,1,0,11,11,17,1,flech,felch,FLECH,NWTL,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,2.48,,,,,,,,,,,,
,,,,m,1,0,12,12,0,1,coral,croal,CORAL,WTL,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.243,,,,,,,,,,,,
,,,,m,1,0,13,13,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.336,,,,,,,,,,,,
,,,,z,1,0,14,14,14,1,dinital,ditinal,DINITAL,NWTL,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.077,,,,,,,,,,,,
,,,,z,1,0,15,15,18,1,alacus,afogus,ALACUS,NWRL,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.598,,,,,,,,,,,,
,,,,z,1,0,16,16,23,1,cnipper,crupper,CNIPPER,NWRL,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.997,,,,,,,,,,,,
,,,,z,1,0,17,17,15,1,etephant,etpheant,ETEPHANT,NWTL,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.468,,,,,,,,,,,,
,,,,z,1,0,18,18,12,1,codfort,cofdort,CODFORT,NWTL,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,3.103,,,,,,,,,,,,
,,,,m,1,0,19,19,3,1,fifty,fitfy,FIFTY,WTL,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.446,,,,,,,,,,,,
,,,,z,1,0,20,20,19,1,bacoon,barkon,BACOON,NWRL,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,2.185,,,,,,,,,,,,
,,,,m,1,0,21,21,10,1,twitter,twitofr,TWITTER,WRL,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,2.368,,,,,,,,,,,,
,,,,z,1,0,22,22,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.079,,,,,,,,,,,,
,,,,z,1,0,23,23,16,1,clirate,crilate,CLIRATE,NWTL,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,1.418,,,,,,,,,,,,
,,,,,,,,,,,lopely,lopary,LOPELY,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,space,3.405,z,1,1.234,0,0,0,111,1,,
,,,,,,,,,,,hotel,hoetl,HOTEL,TL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.836,0,1,1,27,1,,
,,,,,,,,,,,mirtioned,minfioned,MIRTIONED,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.715,0,2,2,113,1,,
,,,,,,,,,,,snack,snurk,SNACK,RL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,1.113,0,3,3,60,1,,
,,,,,,,,,,,dentist,dnetist,DENTIST,TL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.82,0,4,4,13,1,,
,,,,,,,,,,,sibble,siblbe,SIBBLE,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.03,0,5,5,129,1,,
,,,,,,,,,,,snake,snute,SNAKE,RL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,1.797,0,6,6,61,1,,
,,,,,,,,,,,twotched,tartched,TWOTCHED,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.25,0,7,7,151,1,,
,,,,,,,,,,,scraff,srcaff,SCRAFF,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.428,0,8,8,128,1,,
,,,,,,,,,,,foreign,foregin,FOREIGN,TL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.989,0,9,9,19,1,,
,,,,,,,,,,,penguin,purguin,PENGUIN,RL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.935,0,10,10,43,1,,
,,,,,,,,,,,sleeve,sleone,SLEEVE,RL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,1.254,0,11,11,58,1,,
,,,,,,,,,,,trapped,traplod,TRAPPED,RL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,1.377,0,12,12,73,1,,
,,,,,,,,,,,swump,scomp,SWUMP,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,0,2.818,0,13,13,144,1,,
,,,,,,,,,,,rolin,roiln,ROLIN,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.948,0,14,14,126,1,,
,,,,,,,,,,,standust,stalkust,STANDUST,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,2.452,0,15,15,138,1,,
,,,,,,,,,,,return,rafurn,RETURN,RL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.987,0,16,16,53,1,,
