Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,typedWord,typedWord2
space,1.669085,space,21.360345,z,1,3.92385,0,0,0,15,1,etephant,etpheant,ETEPHANT,NWTL,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,2.802435,0,1,1,19,1,bacoon,barkon,BACOON,NWRL,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,3.403065,0,2,2,5,1,library,lirbary,LIBRARY,WTL,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,2.29381,0,3,3,0,1,coral,croal,CORAL,WTL,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,2.380035,0,4,4,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,2.38461,0,5,5,14,1,dinital,ditinal,DINITAL,NWTL,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,2.193915,0,6,6,4,1,laundry,laudnry,LAUNDRY,WTL,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,1.569085,0,7,7,11,1,violin,viprin,VIOLIN,WRL,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,2.42797,0,8,8,18,1,alacus,afogus,ALACUS,NWRL,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,1.87912,0,9,9,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,2.286775,0,10,10,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,2.333685,0,11,11,17,1,flech,felch,FLECH,NWTL,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,1.85212,0,12,12,2,1,festival,fetsival,FESTIVAL,WTL,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,1.689385,0,13,13,12,1,codfort,cofdort,CODFORT,NWTL,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,2.279945,0,14,14,3,1,fifty,fitfy,FIFTY,WTL,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,2.249395,0,15,15,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,1.76572,0,16,16,7,1,nursery,nuftery,NURSERY,WRL,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,2.032605,0,17,17,21,1,campet,cantet,CAMPET,NWRL,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,1.588545,0,18,18,10,1,twitter,twitofr,TWITTER,WRL,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,1.988185,0,19,19,16,1,clirate,crilate,CLIRATE,NWTL,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,1.55009,0,20,20,9,1,parcel,pafbel,PARCEL,WRL,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,1.620915,0,21,21,8,1,picture,pimrure,PICTURE,WRL,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,1.907555,0,22,22,23,1,cnipper,crupper,CNIPPER,NWRL,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,2.48037,0,23,23,13,1,cobcert,cocbert,COBCERT,NWTL,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,,,,,,,,,stull,storl,STULL,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,space,3.00724,z,1,2.28702,0,0,0,136,1,,
,,,,,,,,,,,,patient,ponient,PATIENT,RL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.685845,0,1,1,41,1,,
,,,,,,,,,,,,spear,spoir,SPEAR,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.47183,0,2,2,62,1,,
,,,,,,,,,,,,believe,bleieve,BELIEVE,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.324225,0,3,3,5,1,,
,,,,,,,,,,,,foreign,foregin,FOREIGN,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.139675,0,4,4,19,1,,
,,,,,,,,,,,,stomach,stomush,STOMACH,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.39466,0,5,5,65,1,,
,,,,,,,,,,,,forty,fotry,FORTY,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.35069,0,6,6,21,1,,
,,,,,,,,,,,,chupter,chutper,CHUPTER,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.21071,0,7,7,87,1,,
,,,,,,,,,,,,almond,amlond,ALMOND,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.991085,0,8,8,0,1,,
,,,,,,,,,,,,woary,wonvy,WOARY,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.73667,0,9,9,153,1,,
,,,,,,,,,,,,singer,sarger,SINGER,RL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.120305,0,10,10,57,1,,
,,,,,,,,,,,,biscuit,bsicuit,BISCUIT,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.06701,0,11,11,7,1,,
,,,,,,,,,,,,thirns,thowns,THIRNS,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.2715,0,12,12,148,1,,
,,,,,,,,,,,,holiday,holiady,HOLIDAY,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.960335,0,13,13,25,1,,
,,,,,,,,,,,,wilked,winted,WILKED,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.640725,0,14,14,152,1,,
,,,,,,,,,,,,dufty,dulpy,DUFTY,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.594865,0,15,15,97,1,,
,,,,,,,,,,,,legend,legned,LEGEND,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.00026,0,16,16,31,1,,
,,,,,,,,,,,,natural,natuarl,NATURAL,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.113675,0,17,17,37,1,,
,,,,,,,,,,,,hibernate,hiberntae,HIBERNATE,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.16208,0,18,18,24,1,,
,,,,,,,,,,,,thought,thourst,THOUGHT,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.227705,0,19,19,71,1,,
,,,,,,,,,,,,floats,folats,FLOATS,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.01781,0,20,20,17,1,,
,,,,,,,,,,,,spirit,spizat,SPIRIT,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.228395,0,21,21,63,1,,
,,,,,,,,,,,,sleeve,sleone,SLEEVE,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.997345,0,22,22,58,1,,
,,,,,,,,,,,,yowned,yoazed,YOWNED,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.220365,0,23,23,155,1,,
,,,,,,,,,,,,blanket,balnket,BLANKET,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.923,0,24,24,8,1,,
,,,,,,,,,,,,talking,talkerg,TALKING,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.93634,0,25,25,70,1,,
,,,,,,,,,,,,plain,proin,PLAIN,RL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.934745,0,26,26,46,1,,
