Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,2.948975,space,12.963105,z,1,1.265825,0,0,0,12,1,codfort,cofdort,CODFORT,NWTL,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,1.35677,0,1,1,21,1,campet,cantet,CAMPET,NWRL,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.845185,0,2,2,13,1,cobcert,cocbert,COBCERT,NWTL,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.775535,0,3,3,15,1,etephant,etpheant,ETEPHANT,NWTL,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.608845,0,4,4,10,1,twitter,twitofr,TWITTER,WRL,m,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.723475,0,5,5,18,1,alacus,afogus,ALACUS,NWRL,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.74648,0,6,6,7,1,nursery,nuftery,NURSERY,WRL,m,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.715265,0,7,7,23,1,cnipper,crupper,CNIPPER,NWRL,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.71661,0,8,8,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.681955,0,9,9,3,1,fifty,fitfy,FIFTY,WTL,m,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.88244,0,10,10,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.58838,0,11,11,19,1,bacoon,barkon,BACOON,NWRL,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.56494,0,12,12,0,1,coral,croal,CORAL,WTL,m,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.61614,0,13,13,5,1,library,lirbary,LIBRARY,WTL,m,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.52859,0,14,14,2,1,festival,fetsival,FESTIVAL,WTL,m,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.450495,0,15,15,8,1,picture,pimrure,PICTURE,WRL,m,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.653625,0,16,16,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,0.56658,0,17,17,17,1,flech,felch,FLECH,NWTL,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.56479,0,18,18,4,1,laundry,laudnry,LAUNDRY,WTL,m,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.567405,0,19,19,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.64875,0,20,20,11,1,violin,viprin,VIOLIN,WRL,m,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.886,0,21,21,16,1,clirate,crilate,CLIRATE,NWTL,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,0.49852,0,22,22,14,1,dinital,ditinal,DINITAL,NWTL,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.61559,0,23,23,9,1,parcel,pafbel,PARCEL,WRL,m,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,hoafe,hofae,HOAFE,TLNW,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,space,10.988795,z,1,0.582725,0,0,0,107,1,,,,,,,,
,,,,,,,,,,,,difentions,difortions,DIFENTIONS,RLNW,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,1,0.930385,0,1,1,95,1,,,,,,,,
,,,,,,,,,,,,motter,mtoter,MOTTER,TLNW,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,1,0.582385,0,2,2,115,1,,,,,,,,
,,,,,,,,,,,,vegetable,vgeetable,VEGETABLE,TL1,m,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,m,1,0.527855,0,3,3,74,1,,,,,,,,
,,,,,,,,,,,,story,sotry,STORY,TL1,m,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,0,0.514675,0,4,4,66,1,,,,,,,,
,,,,,,,,,,,,woary,woray,WOARY,TLNW,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,1,0.58905,0,5,5,153,1,,,,,,,,
,,,,,,,,,,,,markles,marlkes,MARKLES,TLNW,z,9430,2020-10-20_14h55.04.291,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,1,0.828965,0,6,6,112,1,,,,,,,,
