Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,1.1288,space,21.541265,z,1,1.1483,0,0,0,14,1,dinital,ditinal,DINITAL,NWTL,z,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.03621,0,1,1,13,1,cobcert,cocbert,COBCERT,NWTL,z,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.28035,0,2,2,23,1,cnipper,crupper,CNIPPER,NWRL,z,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.11047,0,3,3,5,1,library,lirbary,LIBRARY,WTL,m,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.94335,0,4,4,4,1,laundry,laudnry,LAUNDRY,WTL,m,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.755355,0,5,5,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.16678,0,6,6,18,1,alacus,afogus,ALACUS,NWRL,z,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.5706,0,7,7,8,1,picture,pimrure,PICTURE,WRL,m,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.76756,0,8,8,15,1,etephant,etpheant,ETEPHANT,NWTL,z,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.597545,0,9,9,2,1,festival,fetsival,FESTIVAL,WTL,m,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.35099,0,10,10,17,1,flech,felch,FLECH,NWTL,z,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.760745,0,11,11,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.78357,0,12,12,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.8482,0,13,13,3,1,fifty,fitfy,FIFTY,WTL,m,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.1489,0,14,14,12,1,codfort,cofdort,CODFORT,NWTL,z,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.83657,0,15,15,10,1,twitter,twitofr,TWITTER,WRL,m,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.979515,0,16,16,16,1,clirate,crilate,CLIRATE,NWTL,z,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.89947,0,17,17,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,7991,2020-11-05_16h10.40.792,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
