Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,2.80482,space,13.724585,z,1,1.11168,0,0,0,23,1,cnipper,crupper,CNIPPER,NWRL,z,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.36745,0,1,1,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,0,0.984645,0,2,2,21,1,campet,cantet,CAMPET,NWRL,z,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,0,0.716815,0,3,3,19,1,bacoon,barkon,BACOON,NWRL,z,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.74022,0,4,4,5,1,library,lirbary,LIBRARY,WTL,m,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,0,0.659555,0,5,5,4,1,laundry,laudnry,LAUNDRY,WTL,m,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.20214,0,6,6,11,1,violin,viprin,VIOLIN,WRL,m,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.817125,0,7,7,9,1,parcel,pafbel,PARCEL,WRL,m,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.702915,0,8,8,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,0,0.85612,0,9,9,14,1,dinital,ditinal,DINITAL,NWTL,z,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,0,0.95199,0,10,10,12,1,codfort,cofdort,CODFORT,NWTL,z,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.877845,0,11,11,17,1,flech,felch,FLECH,NWTL,z,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,0,0.64897,0,12,12,15,1,etephant,etpheant,ETEPHANT,NWTL,z,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.901155,0,13,13,18,1,alacus,afogus,ALACUS,NWRL,z,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.8928,0,14,14,2,1,festival,fetsival,FESTIVAL,WTL,m,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.44814,0,15,15,7,1,nursery,nuftery,NURSERY,WRL,m,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.54665,0,16,16,8,1,picture,pimrure,PICTURE,WRL,m,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.642185,0,17,17,3,1,fifty,fitfy,FIFTY,WTL,m,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,0,0.793,0,18,18,0,1,coral,croal,CORAL,WTL,m,594,2020-08-25_18h07.49.488,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
