Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,1.905735,space,93.33836,,0,0,0,0,3,1,fifty,fitfy,FIFTY,WTL,m,4546,2020-10-15_12h39.40.740,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,
,,,,m,1,0,1,1,5,1,library,lirbary,LIBRARY,WTL,m,4546,2020-10-15_12h39.40.740,ColomboPrimingTaskD,2020.1.2,MacIntel,60,2.238895,,,,,,,,,,,,,,,,,,
,,,,m,1,0,2,2,4,1,laundry,laudnry,LAUNDRY,WTL,m,4546,2020-10-15_12h39.40.740,ColomboPrimingTaskD,2020.1.2,MacIntel,60,1.977735,,,,,,,,,,,,,,,,,,
,,,,m,1,0,3,3,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,4546,2020-10-15_12h39.40.740,ColomboPrimingTaskD,2020.1.2,MacIntel,60,2.03058,,,,,,,,,,,,,,,,,,
,,,,z,1,0,4,4,17,1,flech,felch,FLECH,NWTL,z,4546,2020-10-15_12h39.40.740,ColomboPrimingTaskD,2020.1.2,MacIntel,60,1.10122,,,,,,,,,,,,,,,,,,
,,,,m,1,0,5,5,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,4546,2020-10-15_12h39.40.740,ColomboPrimingTaskD,2020.1.2,MacIntel,60,0.8883,,,,,,,,,,,,,,,,,,
,,,,z,1,0,6,6,18,1,alacus,afogus,ALACUS,NWRL,z,4546,2020-10-15_12h39.40.740,ColomboPrimingTaskD,2020.1.2,MacIntel,60,1.071145,,,,,,,,,,,,,,,,,,
,,,,m,1,0,7,7,10,1,twitter,twitofr,TWITTER,WRL,m,4546,2020-10-15_12h39.40.740,ColomboPrimingTaskD,2020.1.2,MacIntel,60,0.74894,,,,,,,,,,,,,,,,,,
,,,,z,1,0,8,8,14,1,dinital,ditinal,DINITAL,NWTL,z,4546,2020-10-15_12h39.40.740,ColomboPrimingTaskD,2020.1.2,MacIntel,60,0.715585,,,,,,,,,,,,,,,,,,
,,,,m,1,0,9,9,9,1,parcel,pafbel,PARCEL,WRL,m,4546,2020-10-15_12h39.40.740,ColomboPrimingTaskD,2020.1.2,MacIntel,60,1.57505,,,,,,,,,,,,,,,,,,
