Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,0.789165,space,5.598375,z,1,0.469995,0,0,0,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,4732,2020-08-04_08h06.48.866,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.62966,0,1,1,12,1,codfort,cofdort,CODFORT,NWTL,z,4732,2020-08-04_08h06.48.866,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.543735,0,2,2,17,1,flech,felch,FLECH,NWTL,z,4732,2020-08-04_08h06.48.866,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.433825,0,3,3,16,1,clirate,crilate,CLIRATE,NWTL,z,4732,2020-08-04_08h06.48.866,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.66397,0,4,4,9,1,parcel,pafbel,PARCEL,WRL,m,4732,2020-08-04_08h06.48.866,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.51528,0,5,5,14,1,dinital,ditinal,DINITAL,NWTL,z,4732,2020-08-04_08h06.48.866,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.58224,0,6,6,19,1,bacoon,barkon,BACOON,NWRL,z,4732,2020-08-04_08h06.48.866,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.44143,0,7,7,7,1,nursery,nuftery,NURSERY,WRL,m,4732,2020-08-04_08h06.48.866,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.499605,0,8,8,10,1,twitter,twitofr,TWITTER,WRL,m,4732,2020-08-04_08h06.48.866,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.43293,0,9,9,8,1,picture,pimrure,PICTURE,WRL,m,4732,2020-08-04_08h06.48.866,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
